Номер скважины,Глубина манометра,Dшт,Руст,Рзаб,Pлин,Рлин,Туст,Тна шлейфе,Тзаб,Tлин,Дебит ст. конд.,Дебит воды,Дебит гааз,Дебит кон нестабильный,Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Pсб,Ro_c,Удельная плотность газа ,G_total,КГФ
22503,"3277,80","12,70","254,33","354,50","104,10","103,80","50,30",,"106,40","50,50","138,40","1,60","3730,00","196,50","44,50","40,35","53,90","102,70","787,00","0,67","1,26","191,0000"
22503,"3277,80","14,30","239,13","345,90","105,80","104,00","53,50",,"106,70","54,00","158,00","1,80","4726,00","232,40","44,50","40,35","53,90","103,10","787,00","0,67","1,44","192,0000"
22503,"3276,00","7,50","268,00","370,04","95,00","95,40","56,00","28,60","104,98","30,40","69,90","1,20","1967,00","114,70","44,50","39,44","48,30","94,30","785,00","0,67","0,64","222,0000"
22503,"3276,00","9,53","262,00","364,68","94,90","94,90","62,00","36,30","105,18","37,50","94,40","1,40","2970,00","154,50","44,50","39,44","48,30","93,50","785,00","0,67","0,86","212,0000"
22503,"3276,00","11,11","252,00","357,12","97,00","96,90","66,00","42,80","105,24","43,70","117,60","1,40","3869,00","196,70","44,50","39,44","48,30","95,30","785,00","0,67","1,07","204,0000"
22503,"3276,00","12,70","237,40","347,44","95,70","95,80","70,00","47,50","105,23","47,90","142,00","2,10","5012,00","235,70","44,50","39,44","48,30","94,20","785,00","0,67","1,29","198,0000"
22503,"3276,00","14,30","220,00","337,88","99,80","99,30","70,00","51,80","105,16","52,10","154,70","2,30","5733,00","264,30","44,50","39,44","48,30","98,50","785,00","0,67","1,41","186,0000"
22503,"3284,00","7,94","241,12","335,20","88,70","89,00","51,00","27,00","104,68","27,20","55,40","1,10","1773,00","93,10","44,50","35,28","40,50","89,70","782,00","0,66","0,50","201,0000"
22503,"3284,00","9,53","240,00","328,10","91,20","91,40","59,10","34,90","104,84","35,70","72,70","1,90","2750,00","119,20","44,50","35,28","40,50","88,90","782,00","0,66","0,66","182,0000"
22503,"3284,00","11,11","229,00","318,00","98,00","98,90","63,30","41,40","104,85","42,50","86,30","3,50","3583,00","143,90","44,50","35,28","40,50","91,00","782,00","0,66","0,78","165,0000"
22503,"3284,00","12,70","215,00","307,80","98,60","97,20","65,00","45,80","104,78","46,30","93,50","4,70","4165,00","156,80","44,50","35,28","40,50","94,40","782,00","0,66","0,85","153,0000"
22503,"3284,00","14,29","198,00","293,60","98,50","98,40","66,90","49,80","104,63","50,50","106,60","6,40","5113,00","174,30","44,50","35,28","40,50","94,00","782,00","0,66","0,96","147,0000"
22503,"3288,60","7,94","231,23","309,10","92,60","92,70","51,00",,"104,40","28,10","50,50","0,45","1759,00","84,70","48,37","33,21",,"89,90","779,60","0,67","0,46","182,0000"
22503,"3288,60","11,11","217,20","293,90","93,10","93,30","60,00",,"104,60","41,30","72,00","1,50","3454,00","123,00","48,37","33,21",,"90,80","779,60","0,67","0,65","145,0000"
22503,"3289,80","9,53","199,00","271,00","95,95","94,64","56,00",,"103,90","36,16","47,60","1,00","2223,00","80,00","48,40",,"39,90","94,00","772,60","0,67","0,43","139,0000"
